,drug_type,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
10,2C8_inh,211.0,764.0,632.0,113.0,39.0,1034.0,153.0,234.0,250.0,252.0,1644.0,1407.0,8.0,23.0,58.0,1887.0,1074.0,371.0,19.0,224.0,130.0,153.0,7.0,17.0,9.0,288.0,580.0,892.0,18.0,492.0,370.0,1.0,2.0,9.0,1617.0,15.0,1706.0,0.0,22.0,9.0,250.0,1236.0,18.0,51.0,717.0,14.0,10.0,126.0,50.0,0.0,0.0,274.0,176.0,22.0,57.0,386.0,12.0,37.0,46.0,36.0,27.0,18.0,8.0,10.0,269.0,210.0,199.0,6.0,5.0,204.0,92.0,75.0,0.0,162.0,17.0,87.0,79.0,11.0,17.0,18.0,19.0,0.0,43.0,353.0,56.0
11,2C8_sub,211.0,764.0,632.0,113.0,39.0,1034.0,153.0,234.0,250.0,252.0,1644.0,1407.0,8.0,23.0,58.0,1887.0,1074.0,371.0,19.0,224.0,130.0,153.0,7.0,17.0,9.0,288.0,580.0,892.0,18.0,492.0,370.0,1.0,2.0,9.0,1617.0,15.0,1706.0,0.0,22.0,9.0,250.0,1236.0,18.0,51.0,717.0,14.0,10.0,126.0,50.0,0.0,0.0,274.0,176.0,22.0,57.0,386.0,12.0,37.0,46.0,36.0,27.0,18.0,8.0,10.0,269.0,210.0,199.0,6.0,5.0,204.0,92.0,75.0,0.0,162.0,17.0,87.0,79.0,11.0,17.0,18.0,19.0,0.0,43.0,353.0,56.0
12,2C9_ind,211.0,764.0,632.0,113.0,39.0,1034.0,153.0,234.0,250.0,252.0,1644.0,1407.0,8.0,23.0,58.0,1887.0,1074.0,371.0,19.0,224.0,130.0,153.0,7.0,17.0,9.0,288.0,580.0,892.0,18.0,492.0,370.0,1.0,2.0,9.0,1617.0,15.0,1706.0,0.0,22.0,9.0,250.0,1236.0,18.0,51.0,717.0,14.0,10.0,126.0,50.0,0.0,0.0,274.0,176.0,22.0,57.0,386.0,12.0,37.0,46.0,36.0,27.0,18.0,8.0,10.0,269.0,210.0,199.0,6.0,5.0,204.0,92.0,75.0,0.0,162.0,17.0,87.0,79.0,11.0,17.0,18.0,19.0,0.0,43.0,353.0,56.0
13,2C9_inh,211.0,764.0,632.0,113.0,39.0,1034.0,153.0,234.0,250.0,252.0,1644.0,1407.0,8.0,23.0,58.0,1887.0,1074.0,371.0,19.0,224.0,130.0,153.0,7.0,17.0,9.0,288.0,580.0,892.0,18.0,492.0,370.0,1.0,2.0,9.0,1617.0,15.0,1706.0,0.0,22.0,9.0,250.0,1236.0,18.0,51.0,717.0,14.0,10.0,126.0,50.0,0.0,0.0,274.0,176.0,22.0,57.0,386.0,12.0,37.0,46.0,36.0,27.0,18.0,8.0,10.0,269.0,210.0,199.0,6.0,5.0,204.0,92.0,75.0,0.0,162.0,17.0,87.0,79.0,11.0,17.0,18.0,19.0,0.0,43.0,353.0,56.0
14,2C9_sub,211.0,764.0,632.0,113.0,39.0,1034.0,153.0,234.0,250.0,252.0,1644.0,1407.0,8.0,23.0,58.0,1887.0,1074.0,371.0,19.0,224.0,130.0,153.0,7.0,17.0,9.0,288.0,580.0,892.0,18.0,492.0,370.0,1.0,2.0,9.0,1617.0,15.0,1706.0,0.0,22.0,9.0,250.0,1236.0,18.0,51.0,717.0,14.0,10.0,126.0,50.0,0.0,0.0,274.0,176.0,22.0,57.0,386.0,12.0,37.0,46.0,36.0,27.0,18.0,8.0,10.0,269.0,210.0,199.0,6.0,5.0,204.0,92.0,75.0,0.0,162.0,17.0,87.0,79.0,11.0,17.0,18.0,19.0,0.0,43.0,353.0,56.0
15,2D6_inh,211.0,764.0,632.0,113.0,39.0,1034.0,153.0,234.0,250.0,252.0,1644.0,1407.0,8.0,23.0,58.0,1887.0,1074.0,371.0,19.0,224.0,130.0,153.0,7.0,17.0,9.0,288.0,580.0,892.0,18.0,492.0,370.0,1.0,2.0,9.0,1617.0,15.0,1706.0,0.0,22.0,9.0,250.0,1236.0,18.0,51.0,717.0,14.0,10.0,126.0,50.0,0.0,0.0,274.0,176.0,22.0,57.0,386.0,12.0,37.0,46.0,36.0,27.0,18.0,8.0,10.0,269.0,210.0,199.0,6.0,5.0,204.0,92.0,75.0,0.0,162.0,17.0,87.0,79.0,11.0,17.0,18.0,19.0,0.0,43.0,353.0,56.0
16,2D6_sub,211.0,764.0,632.0,113.0,39.0,1034.0,153.0,234.0,250.0,252.0,1644.0,1407.0,8.0,23.0,58.0,1887.0,1074.0,371.0,19.0,224.0,130.0,153.0,7.0,17.0,9.0,288.0,580.0,892.0,18.0,492.0,370.0,1.0,2.0,9.0,1617.0,15.0,1706.0,0.0,22.0,9.0,250.0,1236.0,18.0,51.0,717.0,14.0,10.0,126.0,50.0,0.0,0.0,274.0,176.0,22.0,57.0,386.0,12.0,37.0,46.0,36.0,27.0,18.0,8.0,10.0,269.0,210.0,199.0,6.0,5.0,204.0,92.0,75.0,0.0,162.0,17.0,87.0,79.0,11.0,17.0,18.0,19.0,0.0,43.0,353.0,56.0
17,2E1_ind,211.0,764.0,632.0,113.0,39.0,1034.0,153.0,234.0,250.0,252.0,1644.0,1407.0,8.0,23.0,58.0,1887.0,1074.0,371.0,19.0,224.0,130.0,153.0,7.0,17.0,9.0,288.0,580.0,892.0,18.0,492.0,370.0,1.0,2.0,9.0,1617.0,15.0,1706.0,0.0,22.0,9.0,250.0,1236.0,18.0,51.0,717.0,14.0,10.0,126.0,50.0,0.0,0.0,274.0,176.0,22.0,57.0,386.0,12.0,37.0,46.0,36.0,27.0,18.0,8.0,10.0,269.0,210.0,199.0,6.0,5.0,204.0,92.0,75.0,0.0,162.0,17.0,87.0,79.0,11.0,17.0,18.0,19.0,0.0,43.0,353.0,56.0
18,2E1_inh,211.0,764.0,632.0,113.0,39.0,1034.0,153.0,234.0,250.0,252.0,1644.0,1407.0,8.0,23.0,58.0,1887.0,1074.0,371.0,19.0,224.0,130.0,153.0,7.0,17.0,9.0,288.0,580.0,892.0,18.0,492.0,370.0,1.0,2.0,9.0,1617.0,15.0,1706.0,0.0,22.0,9.0,250.0,1236.0,18.0,51.0,717.0,14.0,10.0,126.0,50.0,0.0,0.0,274.0,176.0,22.0,57.0,386.0,12.0,37.0,46.0,36.0,27.0,18.0,8.0,10.0,269.0,210.0,199.0,6.0,5.0,204.0,92.0,75.0,0.0,162.0,17.0,87.0,79.0,11.0,17.0,18.0,19.0,0.0,43.0,353.0,56.0
19,2E1_sub,211.0,764.0,632.0,113.0,39.0,1034.0,153.0,234.0,250.0,252.0,1644.0,1407.0,8.0,23.0,58.0,1887.0,1074.0,371.0,19.0,224.0,130.0,153.0,7.0,17.0,9.0,288.0,580.0,892.0,18.0,492.0,370.0,1.0,2.0,9.0,1617.0,15.0,1706.0,0.0,22.0,9.0,250.0,1236.0,18.0,51.0,717.0,14.0,10.0,126.0,50.0,0.0,0.0,274.0,176.0,22.0,57.0,386.0,12.0,37.0,46.0,36.0,27.0,18.0,8.0,10.0,269.0,210.0,199.0,6.0,5.0,204.0,92.0,75.0,0.0,162.0,17.0,87.0,79.0,11.0,17.0,18.0,19.0,0.0,43.0,353.0,56.0
20,3A4_ind,211.0,764.0,632.0,113.0,39.0,1034.0,153.0,234.0,250.0,252.0,1644.0,1407.0,8.0,23.0,58.0,1887.0,1074.0,371.0,19.0,224.0,130.0,153.0,7.0,17.0,9.0,288.0,580.0,892.0,18.0,492.0,370.0,1.0,2.0,9.0,1617.0,15.0,1706.0,0.0,22.0,9.0,250.0,1236.0,18.0,51.0,717.0,14.0,10.0,126.0,50.0,0.0,0.0,274.0,176.0,22.0,57.0,386.0,12.0,37.0,46.0,36.0,27.0,18.0,8.0,10.0,269.0,210.0,199.0,6.0,5.0,204.0,92.0,75.0,0.0,162.0,17.0,87.0,79.0,11.0,17.0,18.0,19.0,0.0,43.0,353.0,56.0
21,3A4_inh,211.0,764.0,632.0,113.0,39.0,1034.0,153.0,234.0,250.0,252.0,1644.0,1407.0,8.0,23.0,58.0,1887.0,1074.0,371.0,19.0,224.0,130.0,153.0,7.0,17.0,9.0,288.0,580.0,892.0,18.0,492.0,370.0,1.0,2.0,9.0,1617.0,15.0,1706.0,0.0,22.0,9.0,250.0,1236.0,18.0,51.0,717.0,14.0,10.0,126.0,50.0,0.0,0.0,274.0,176.0,22.0,57.0,386.0,12.0,37.0,46.0,36.0,27.0,18.0,8.0,10.0,269.0,210.0,199.0,6.0,5.0,204.0,92.0,75.0,0.0,162.0,17.0,87.0,79.0,11.0,17.0,18.0,19.0,0.0,43.0,353.0,56.0
22,3A4_sub,211.0,764.0,632.0,113.0,39.0,1034.0,153.0,234.0,250.0,252.0,1644.0,1407.0,8.0,23.0,58.0,1887.0,1074.0,371.0,19.0,224.0,130.0,153.0,7.0,17.0,9.0,288.0,580.0,892.0,18.0,492.0,370.0,1.0,2.0,9.0,1617.0,15.0,1706.0,0.0,22.0,9.0,250.0,1236.0,18.0,51.0,717.0,14.0,10.0,126.0,50.0,0.0,0.0,274.0,176.0,22.0,57.0,386.0,12.0,37.0,46.0,36.0,27.0,18.0,8.0,10.0,269.0,210.0,199.0,6.0,5.0,204.0,92.0,75.0,0.0,162.0,17.0,87.0,79.0,11.0,17.0,18.0,19.0,0.0,43.0,353.0,56.0
23,3A5_ind,211.0,764.0,632.0,113.0,39.0,1034.0,153.0,234.0,250.0,252.0,1644.0,1407.0,8.0,23.0,58.0,1887.0,1074.0,371.0,19.0,224.0,130.0,153.0,7.0,17.0,9.0,288.0,580.0,892.0,18.0,492.0,370.0,1.0,2.0,9.0,1617.0,15.0,1706.0,0.0,22.0,9.0,250.0,1236.0,18.0,51.0,717.0,14.0,10.0,126.0,50.0,0.0,0.0,274.0,176.0,22.0,57.0,386.0,12.0,37.0,46.0,36.0,27.0,18.0,8.0,10.0,269.0,210.0,199.0,6.0,5.0,204.0,92.0,75.0,0.0,162.0,17.0,87.0,79.0,11.0,17.0,18.0,19.0,0.0,43.0,353.0,56.0
24,3A5_inh,211.0,764.0,632.0,113.0,39.0,1034.0,153.0,234.0,250.0,252.0,1644.0,1407.0,8.0,23.0,58.0,1887.0,1074.0,371.0,19.0,224.0,130.0,153.0,7.0,17.0,9.0,288.0,580.0,892.0,18.0,492.0,370.0,1.0,2.0,9.0,1617.0,15.0,1706.0,0.0,22.0,9.0,250.0,1236.0,18.0,51.0,717.0,14.0,10.0,126.0,50.0,0.0,0.0,274.0,176.0,22.0,57.0,386.0,12.0,37.0,46.0,36.0,27.0,18.0,8.0,10.0,269.0,210.0,199.0,6.0,5.0,204.0,92.0,75.0,0.0,162.0,17.0,87.0,79.0,11.0,17.0,18.0,19.0,0.0,43.0,353.0,56.0
25,3A5_sub,211.0,764.0,632.0,113.0,39.0,1034.0,153.0,234.0,250.0,252.0,1644.0,1407.0,8.0,23.0,58.0,1887.0,1074.0,371.0,19.0,224.0,130.0,153.0,7.0,17.0,9.0,288.0,580.0,892.0,18.0,492.0,370.0,1.0,2.0,9.0,1617.0,15.0,1706.0,0.0,22.0,9.0,250.0,1236.0,18.0,51.0,717.0,14.0,10.0,126.0,50.0,0.0,0.0,274.0,176.0,22.0,57.0,386.0,12.0,37.0,46.0,36.0,27.0,18.0,8.0,10.0,269.0,210.0,199.0,6.0,5.0,204.0,92.0,75.0,0.0,162.0,17.0,87.0,79.0,11.0,17.0,18.0,19.0,0.0,43.0,353.0,56.0
26,GST_ind,211.0,764.0,632.0,113.0,39.0,1034.0,153.0,234.0,250.0,252.0,1644.0,1407.0,8.0,23.0,58.0,1887.0,1074.0,371.0,19.0,224.0,130.0,153.0,7.0,17.0,9.0,288.0,580.0,892.0,18.0,492.0,370.0,1.0,2.0,9.0,1617.0,15.0,1706.0,0.0,22.0,9.0,250.0,1236.0,18.0,51.0,717.0,14.0,10.0,126.0,50.0,0.0,0.0,274.0,176.0,22.0,57.0,386.0,12.0,37.0,46.0,36.0,27.0,18.0,8.0,10.0,269.0,210.0,199.0,6.0,5.0,204.0,92.0,75.0,0.0,162.0,17.0,87.0,79.0,11.0,17.0,18.0,19.0,0.0,43.0,353.0,56.0
27,GST_inh,211.0,764.0,632.0,113.0,39.0,1034.0,153.0,234.0,250.0,252.0,1644.0,1407.0,8.0,23.0,58.0,1887.0,1074.0,371.0,19.0,224.0,130.0,153.0,7.0,17.0,9.0,288.0,580.0,892.0,18.0,492.0,370.0,1.0,2.0,9.0,1617.0,15.0,1706.0,0.0,22.0,9.0,250.0,1236.0,18.0,51.0,717.0,14.0,10.0,126.0,50.0,0.0,0.0,274.0,176.0,22.0,57.0,386.0,12.0,37.0,46.0,36.0,27.0,18.0,8.0,10.0,269.0,210.0,199.0,6.0,5.0,204.0,92.0,75.0,0.0,162.0,17.0,87.0,79.0,11.0,17.0,18.0,19.0,0.0,43.0,353.0,56.0
28,GST_sub,211.0,764.0,632.0,113.0,39.0,1034.0,153.0,234.0,250.0,252.0,1644.0,1407.0,8.0,23.0,58.0,1887.0,1074.0,371.0,19.0,224.0,130.0,153.0,7.0,17.0,9.0,288.0,580.0,892.0,18.0,492.0,370.0,1.0,2.0,9.0,1617.0,15.0,1706.0,0.0,22.0,9.0,250.0,1236.0,18.0,51.0,717.0,14.0,10.0,126.0,50.0,0.0,0.0,274.0,176.0,22.0,57.0,386.0,12.0,37.0,46.0,36.0,27.0,18.0,8.0,10.0,269.0,210.0,199.0,6.0,5.0,204.0,92.0,75.0,0.0,162.0,17.0,87.0,79.0,11.0,17.0,18.0,19.0,0.0,43.0,353.0,56.0
29,MET_ind,211.0,764.0,632.0,113.0,39.0,1034.0,153.0,234.0,250.0,252.0,1644.0,1407.0,8.0,23.0,58.0,1887.0,1074.0,371.0,19.0,224.0,130.0,153.0,7.0,17.0,9.0,288.0,580.0,892.0,18.0,492.0,370.0,1.0,2.0,9.0,1617.0,15.0,1706.0,0.0,22.0,9.0,250.0,1236.0,18.0,51.0,717.0,14.0,10.0,126.0,50.0,0.0,0.0,274.0,176.0,22.0,57.0,386.0,12.0,37.0,46.0,36.0,27.0,18.0,8.0,10.0,269.0,210.0,199.0,6.0,5.0,204.0,92.0,75.0,0.0,162.0,17.0,87.0,79.0,11.0,17.0,18.0,19.0,0.0,43.0,353.0,56.0
30,MET_inh,211.0,764.0,632.0,113.0,39.0,1034.0,153.0,234.0,250.0,252.0,1644.0,1407.0,8.0,23.0,58.0,1887.0,1074.0,371.0,19.0,224.0,130.0,153.0,7.0,17.0,9.0,288.0,580.0,892.0,18.0,492.0,370.0,1.0,2.0,9.0,1617.0,15.0,1706.0,0.0,22.0,9.0,250.0,1236.0,18.0,51.0,717.0,14.0,10.0,126.0,50.0,0.0,0.0,274.0,176.0,22.0,57.0,386.0,12.0,37.0,46.0,36.0,27.0,18.0,8.0,10.0,269.0,210.0,199.0,6.0,5.0,204.0,92.0,75.0,0.0,162.0,17.0,87.0,79.0,11.0,17.0,18.0,19.0,0.0,43.0,353.0,56.0
31,MET_sub,211.0,764.0,632.0,113.0,39.0,1034.0,153.0,234.0,250.0,252.0,1644.0,1407.0,8.0,23.0,58.0,1887.0,1074.0,371.0,19.0,224.0,130.0,153.0,7.0,17.0,9.0,288.0,580.0,892.0,18.0,492.0,370.0,1.0,2.0,9.0,1617.0,15.0,1706.0,0.0,22.0,9.0,250.0,1236.0,18.0,51.0,717.0,14.0,10.0,126.0,50.0,0.0,0.0,274.0,176.0,22.0,57.0,386.0,12.0,37.0,46.0,36.0,27.0,18.0,8.0,10.0,269.0,210.0,199.0,6.0,5.0,204.0,92.0,75.0,0.0,162.0,17.0,87.0,79.0,11.0,17.0,18.0,19.0,0.0,43.0,353.0,56.0
32,NAT_ind,211.0,764.0,632.0,113.0,39.0,1034.0,153.0,234.0,250.0,252.0,1644.0,1407.0,8.0,23.0,58.0,1887.0,1074.0,371.0,19.0,224.0,130.0,153.0,7.0,17.0,9.0,288.0,580.0,892.0,18.0,492.0,370.0,1.0,2.0,9.0,1617.0,15.0,1706.0,0.0,22.0,9.0,250.0,1236.0,18.0,51.0,717.0,14.0,10.0,126.0,50.0,0.0,0.0,274.0,176.0,22.0,57.0,386.0,12.0,37.0,46.0,36.0,27.0,18.0,8.0,10.0,269.0,210.0,199.0,6.0,5.0,204.0,92.0,75.0,0.0,162.0,17.0,87.0,79.0,11.0,17.0,18.0,19.0,0.0,43.0,353.0,56.0
33,NAT_inh,211.0,764.0,632.0,113.0,39.0,1034.0,153.0,234.0,250.0,252.0,1644.0,1407.0,8.0,23.0,58.0,1887.0,1074.0,371.0,19.0,224.0,130.0,153.0,7.0,17.0,9.0,288.0,580.0,892.0,18.0,492.0,370.0,1.0,2.0,9.0,1617.0,15.0,1706.0,0.0,22.0,9.0,250.0,1236.0,18.0,51.0,717.0,14.0,10.0,126.0,50.0,0.0,0.0,274.0,176.0,22.0,57.0,386.0,12.0,37.0,46.0,36.0,27.0,18.0,8.0,10.0,269.0,210.0,199.0,6.0,5.0,204.0,92.0,75.0,0.0,162.0,17.0,87.0,79.0,11.0,17.0,18.0,19.0,0.0,43.0,353.0,56.0
34,NAT_sub,211.0,764.0,632.0,113.0,39.0,1034.0,153.0,234.0,250.0,252.0,1644.0,1407.0,8.0,23.0,58.0,1887.0,1074.0,371.0,19.0,224.0,130.0,153.0,7.0,17.0,9.0,288.0,580.0,892.0,18.0,492.0,370.0,1.0,2.0,9.0,1617.0,15.0,1706.0,0.0,22.0,9.0,250.0,1236.0,18.0,51.0,717.0,14.0,10.0,126.0,50.0,0.0,0.0,274.0,176.0,22.0,57.0,386.0,12.0,37.0,46.0,36.0,27.0,18.0,8.0,10.0,269.0,210.0,199.0,6.0,5.0,204.0,92.0,75.0,0.0,162.0,17.0,87.0,79.0,11.0,17.0,18.0,19.0,0.0,43.0,353.0,56.0
